exercise_id,exercise_name,primary_muscle,secondary_muscles,equipment,category,difficulty,met_value,sets_beginner,reps_beginner,sets_intermediate,reps_intermediate,sets_advanced,reps_advanced,rest_seconds,contraindications,is_compound,is_bodyweight,calorie_burn_30min,video_cue
1,Barbell Back Squat,Quadriceps,"Glutes, Hamstrings, Core",Barbell,Strength,Intermediate,8.0,3,8-12,4,6-10,5,4-8,120,"Knee pain, Lower back injury, Hip impingement",1,0,280,Search: 'Barbell Back Squat proper form' for technique guidance
2,Barbell Front Squat,Quadriceps,"Glutes, Upper Back, Core",Barbell,Strength,Advanced,8.5,3,8-12,4,6-10,5,4-8,180,"Wrist injury, Shoulder pain, Lower back injury",1,0,298,Search: 'Barbell Front Squat proper form' for technique guidance
3,Barbell Deadlift,Hamstrings,"Glutes, Lower Back, Traps, Core",Barbell,Strength,Intermediate,9.0,3,8-12,4,6-10,5,4-8,120,"Lower back disc injury, Sciatica",1,0,315,Search: 'Barbell Deadlift proper form' for technique guidance
4,Sumo Deadlift,Quadriceps,"Glutes, Hamstrings, Adductors",Barbell,Strength,Intermediate,8.0,3,8-12,4,6-10,5,4-8,120,"Groin strain, Hip injury",1,0,280,Search: 'Sumo Deadlift proper form' for technique guidance
5,Romanian Deadlift,Hamstrings,"Glutes, Lower Back",Barbell,Strength,Beginner,7.0,3,8-12,4,6-10,5,4-8,90,"Lower back disc injury, Hamstring Grade III",0,0,245,Search: 'Romanian Deadlift proper form' for technique guidance
6,Trap Bar Deadlift,Quadriceps,"Hamstrings, Glutes, Traps",Trap Bar,Strength,Beginner,7.5,3,8-12,4,6-10,5,4-8,90,Lower back injury (minimal risk),1,0,262,Search: 'Trap Bar Deadlift proper form' for technique guidance
7,Barbell Hip Thrust,Glutes,"Hamstrings, Core",Barbell,Strength,Beginner,7.0,3,8-12,4,6-10,5,4-8,90,"Neck injury, Severe lower back pain",0,0,245,Search: 'Barbell Hip Thrust proper form' for technique guidance
8,Bulgarian Split Squat,Quadriceps,"Glutes, Hamstrings, Core",Dumbbells,Strength,Intermediate,7.5,3,8-12,4,6-10,5,4-8,120,"Knee pain, Ankle instability, Hip flexor strain",1,0,262,Search: 'Bulgarian Split Squat proper form' for technique guidance
9,Barbell Bench Press,Chest,"Triceps, Front Deltoid",Barbell,Strength,Beginner,8.0,3,8-12,4,6-10,5,4-8,90,"Shoulder impingement, Rotator cuff, Pectoral strain",0,0,280,Search: 'Barbell Bench Press proper form' for technique guidance
10,Incline DB Bench Press,Upper Chest,"Front Deltoid, Triceps",Dumbbells,Strength,Beginner,7.0,3,8-12,4,6-10,5,4-8,90,"Shoulder pain, Rotator cuff",0,0,245,Search: 'Incline DB Bench Press proper form' for technique guidance
11,Decline Bench Press,Lower Chest,"Triceps, Front Deltoid",Barbell,Strength,Intermediate,7.5,3,8-12,4,6-10,5,4-8,120,"Lower back lordosis, Neck injury",0,0,262,Search: 'Decline Bench Press proper form' for technique guidance
12,Barbell Row,Lats,"Rhomboids, Biceps, Rear Delt",Barbell,Strength,Intermediate,7.5,3,8-12,4,6-10,5,4-8,120,Lower back disc injury,1,0,262,Search: 'Barbell Row proper form' for technique guidance
13,Seated Cable Row,Lats,"Rhomboids, Biceps, Rear Delt",Cable Machine,Strength,Beginner,6.0,3,8-12,4,6-10,5,4-8,90,Lower back injury (minimal risk),1,0,210,Search: 'Seated Cable Row proper form' for technique guidance
14,T-Bar Row,Lats,"Rhomboids, Biceps",Barbell,Strength,Intermediate,7.5,3,8-12,4,6-10,5,4-8,120,Lower back pain,0,0,262,Search: 'T-Bar Row proper form' for technique guidance
15,Barbell Overhead Press,Shoulders,"Triceps, Upper Chest, Traps",Barbell,Strength,Intermediate,7.0,3,8-12,4,6-10,5,4-8,120,"Shoulder impingement, Rotator cuff, Neck injury",1,0,245,Search: 'Barbell Overhead Press proper form' for technique guidance
16,Dumbbell Shoulder Press,Shoulders,"Triceps, Traps",Dumbbells,Strength,Beginner,6.5,3,8-12,4,6-10,5,4-8,90,"Shoulder impingement, Rotator cuff",0,0,228,Search: 'Dumbbell Shoulder Press proper form' for technique guidance
17,Arnold Press,Shoulders,"Triceps, Chest",Dumbbells,Strength,Intermediate,6.5,3,8-12,4,6-10,5,4-8,120,Shoulder impingement,0,0,228,Search: 'Arnold Press proper form' for technique guidance
18,Landmine Press,Shoulders,"Chest, Triceps, Core",Barbell,Strength,Beginner,6.0,3,8-12,4,6-10,5,4-8,90,None,1,0,210,Search: 'Landmine Press proper form' for technique guidance
19,Pull-Up,Lats,"Biceps, Rear Delt, Core",Pull-Up Bar,Strength,Intermediate,7.0,3,8-12,4,6-10,5,4-8,120,"Shoulder injury, Elbow injury, Rotator cuff",1,0,245,Search: 'Pull-Up proper form' for technique guidance
20,Chin-Up,Biceps,"Lats, Core",Pull-Up Bar,Strength,Intermediate,7.0,3,8-12,4,6-10,5,4-8,120,"Shoulder injury, Biceps tendinopathy",0,0,245,Search: 'Chin-Up proper form' for technique guidance
21,Lat Pulldown,Lats,"Biceps, Rear Delt",Cable Machine,Strength,Beginner,5.5,3,8-12,4,6-10,5,4-8,90,Shoulder injury,0,0,192,Search: 'Lat Pulldown proper form' for technique guidance
22,Dips,Triceps,"Chest, Front Delt",Parallel Bars,Strength,Intermediate,6.0,3,8-12,4,6-10,5,4-8,120,"Shoulder impingement, Rotator cuff, Elbow injury",0,0,210,Search: 'Dips proper form' for technique guidance
23,Push-Up,Chest,"Triceps, Front Delt, Core",None,Strength,Beginner,5.0,3,8-12,4,6-10,5,4-8,90,"Wrist pain, Shoulder injury",1,1,175,Search: 'Push-Up proper form' for technique guidance
24,Dumbbell Row,Lats,"Rhomboids, Biceps",Dumbbells,Strength,Beginner,5.5,3,8-12,4,6-10,5,4-8,90,Lower back pain (support with bench),0,0,192,Search: 'Dumbbell Row proper form' for technique guidance
25,Barbell Curl,Biceps,Brachialis,Barbell,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,"Elbow pain, Biceps tendinopathy, Tennis elbow",0,0,122,Search: 'Barbell Curl proper form' for technique guidance
26,Dumbbell Curl,Biceps,Brachialis,Dumbbells,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,"Elbow pain, Biceps tendinopathy",0,0,122,Search: 'Dumbbell Curl proper form' for technique guidance
27,Hammer Curl,Brachialis,"Biceps, Forearm",Dumbbells,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,"Elbow pain, Tennis elbow",0,0,122,Search: 'Hammer Curl proper form' for technique guidance
28,Preacher Curl,Biceps,Brachialis,Barbell,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,"Elbow injury, Biceps tendinopathy",0,0,122,Search: 'Preacher Curl proper form' for technique guidance
29,Incline DB Curl,Biceps,Brachialis,Dumbbells,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,Shoulder injury,0,0,122,Search: 'Incline DB Curl proper form' for technique guidance
30,Tricep Pushdown (cable),Triceps,None,Cable Machine,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,Elbow pain,0,0,122,Search: 'Tricep Pushdown (cable) proper form' for technique guidance
31,Skull Crusher,Triceps,None,Barbell,Strength,Intermediate,4.0,3,8-12,4,6-10,5,4-8,120,"Elbow pain, Shoulder injury",0,0,140,Search: 'Skull Crusher proper form' for technique guidance
32,Close-Grip Bench Press,Triceps,"Chest, Front Delt",Barbell,Strength,Intermediate,6.5,3,8-12,4,6-10,5,4-8,120,"Wrist injury, Elbow pain",0,0,228,Search: 'Close-Grip Bench Press proper form' for technique guidance
