injury_id,injury_name,injury_location,severity,acute_phase_days,avoid_exercises,phase1_rehab,phase2_rehab,phase3_return,recommended_supplements,red_flags,source
1,Lower Back Muscle Spasm,Lower Back,Mild,1-5,"Deadlift, Barbell Squat, Good Morning, Leg Press (heavy), Hyperextension, Sit-ups",Rest 24-48h. Ice 15-20 min every 2-3h. Gentle knee-to-chest stretches (3×20s). Cat-cow mobility (3×10 reps). Diaphragmatic breathing.,"Bird-dog (3×10), Glute bridge (3×15), Dead bug (3×10), Walking 20-30 min/day. Avoid loaded flexion.","Bodyweight squat, Romanian deadlift with light weight, Progressive loading over 4-6 weeks.","Magnesium glycinate 400mg (muscle relaxation), Turmeric 500mg (anti-inflammatory), Fish oil 2-3g EPA+DHA","Pain radiating below knee, bladder/bowel dysfunction → immediate medical attention.",ACSM Guidelines; Physiopedia Lower Back Pain Protocol
2,Lumbar Disc Herniation (L4-L5 or L5-S1),Lower Back,Moderate-Severe,7-21,"All spinal flexion (crunches, sit-ups, bent-over rows), Deadlift, Heavy squat, Leg press, Twisting movements, Box jumps.","McKenzie press-up (prone extension) 3×10, Walking in pool, Supine piriformis stretch, Ice/heat alternation. Consult physio.","Prone cobra, Pelvic tilt, Hip flexor stretch, Partial sit-up (only if pain-free). Core stabilization priority.","Gradual introduction of hip hinge pattern, Cable pull-through, Trap bar deadlift at 50% max. 8-12 week timeline.","B12 1000mcg (nerve health), Alpha-lipoic acid 600mg, Omega-3 3g, Collagen 10g","Foot drop, saddle anaesthesia, bilateral leg weakness → emergency surgery consult.",McKenzie Institute; Spine Journal 2022 Conservative Management Guidelines
3,Sciatica (Piriformis Syndrome),Lower Back / Glute / Leg,Mild-Moderate,3-14,"Heavy squats, Lunges (deep), Running (until pain-free), Seated leg curl, Hip adduction machine.","Piriformis stretch (figure-4) 3×30s, Supine hamstring stretch, Hip external rotation stretch, Walking 15-20 min.","Clamshell (3×15), Side-lying hip abduction, Glute bridge (single-leg progression), Lateral band walk.","Bodyweight squat, Step-up, Bulgarian split squat (light), Gradual running reintroduction.","Magnesium 400mg, Vitamin D3 2000 IU, Fish oil 2g",MRI to rule out true disc herniation.,JOSPT Piriformis Syndrome Clinical Practice Guidelines 2021
4,Patellofemoral Pain Syndrome (Runner's Knee),Knee,Mild-Moderate,3-7,"Deep squats (beyond 90°), Leg extension machine, Running downhill, Lunges, Stair climbing, Plyometrics.","RICE protocol, VMO activation (quad sets), Straight leg raise, Short-arc quad, Non-weight-bearing cycling.","Mini squat (0-45°), Step-up (low), Hip strengthening (abductors/external rotators), Terminal knee extension.","Wall squat, Bulgarian split squat, Running at flat surface (progressive mileage), Box squat.","Glucosamine 1500mg + Chondroitin 1200mg, Collagen 10g + Vitamin C, Omega-3 2g","Locking, giving way, significant swelling → MRI to rule out meniscal tear.",British Journal of Sports Medicine PFPS Guidelines 2022
5,"ACL Tear (Post-surgical Rehab, Phase 1)",Knee,Severe,0-14 post-op,"All weight-bearing exercise. No pivoting, cutting, jumping. No open-chain knee extension 0-60°.","Quad sets, Straight leg raise, Ankle pumps, Heel prop extension stretching, Cryotherapy, Gait training with crutches.","Stationary cycling (week 4-6), Leg press 0-60° (week 6), Pool walking, Progressive weight-bearing.","Return to sport at 9-12 months minimum. Single-leg squat, Hop tests (LSI >90%), Agility drills.","Vitamin C 1000mg, Zinc 25mg, Protein 1.8-2.2g/kg/day, Creatine 5g (muscle preservation)","Sudden effusion increase, fever, wound infection → immediate surgical consult.",JOSPT ACL Post-op Rehab Guidelines 2021; NICE Guidelines
6,Meniscal Tear (Conservative Management),Knee,Moderate,7-14,"Deep knee flexion, Twisting on planted foot, Running, Jumping, Squatting beyond 90°, Leg curl.","Ice, compression, elevation. Quad sets, Straight leg raise, Stationary cycling (high seat), Pool walking.","Mini squat, Step-up, Leg press (limited range), Hip strengthening. Avoid pivoting.","Full squat (if pain-free), Jogging (week 8-12), Return to sport at 12-16 weeks.","Glucosamine sulfate 1500mg, Collagen 10g, Boswellia 300mg","Locking, inability to extend, persistent effusion → surgery consult.",Cochrane Review on Meniscal Tears 2020; Orthopedics Today
7,Patellar Tendinopathy (Jumper's Knee),Knee,Mild-Moderate,Chronic — load management,"Plyometrics, Heavy loaded squats, Leg extension machine, Running, Jumping rope, Hill sprints.","Isometric leg press or wall squat (70% MVC, 5×45s, 5×/week). Ice after activity. Load reduction 50%.","Isotonic loading: Slow squats (3s concentric/3s eccentric), Spanish squat, Leg press. Gradual loading.","Reactive loading: Box jump (low), Running reintroduction, Sport-specific drills at 12-16 weeks.","Collagen 15g + Vitamin C 50mg (30 min pre-exercise), Omega-3 3g, Protein >1.8g/kg","Central tendon thickening, partial rupture on ultrasound → physio-guided management.",Cook & Purdam Tendinopathy Model; BJSM Patellar Tendinopathy Review 2022
8,Rotator Cuff Strain (Grade I-II),Shoulder,Mild-Moderate,3-10,"Overhead press, Behind-the-neck press, Upright row, Military press, Kipping pull-up, Heavy bench press.","Pendulum exercises, Scapular retraction, Active-assisted ROM. RICE. Sling if needed (Grade II).","Band external rotation (3×15), Side-lying ER, Scaption, Wall push-up, Face pull (light band).","Dumbbell lateral raise, Cable fly, Landmine press, DB shoulder press (neutral grip), Gradual load increase.","Fish oil 3g, Collagen 10g + Vitamin C, Curcumin 1g","Inability to raise arm, complete tear on ultrasound → surgical evaluation.",AAOS Rotator Cuff Guidelines; JOSPT Shoulder Protocol 2021
9,Shoulder Impingement Syndrome,Shoulder,Mild-Moderate,7-21,"Overhead press, Lateral raise above 90°, Upright row, Behind-neck exercises, Dips (wide arm), Swimming (freestyle intensive).","Scapular mobilization, Posterior capsule stretch (cross-body), Sleeper stretch, Anti-inflammatory protocol.","Rotator cuff strengthening (internal/external rotation), Serratus anterior activation, Row variations.","Landmine press, Cable shoulder press, Incline bench press, DB lateral raise (below 90°).","Omega-3 2-3g, Vitamin D3 2000 IU, Magnesium 300mg","Night pain, significant loss of ROM → cortisone + imaging.",Neer Classification; British Shoulder & Elbow Society Guidelines
10,Biceps Tendinopathy,Shoulder / Biceps,Mild,5-14,"Heavy barbell curls, Preacher curl, Chin-ups (early), Overhead pulling with flexion, Hammer curl (heavy).","Eccentric bicep curl (slow 3-4s lowering, 3×15), Supination exercise, Pendulum, Scapular stabilization.","Band curl, Incline DB curl, Neutral grip pull-down, Concentric-eccentric loading progression.","Barbell curl, Weighted chin-up, Cable curl. Full return at 8-12 weeks.","Collagen 10g, Vitamin C 1000mg, Protein 2g/kg",Popeye deformity (proximal biceps rupture) → surgical consult.,Physiopedia Biceps Tendinopathy; JOSPT Upper Extremity Protocol
